id,item,type,cond,region1_rrt,region2_rrt,region3_rrt,region4_rrt
14,18,Object-Topicalized,tor,469.0,934.0,1584.0,501.0
14,6,Object-Topicalized,tor,437.0,878.0,636.0,1365.0
14,7,Object-Subject-Inversion,orsi,390.0,829.0,565.0,423.0
14,17,Subject,sr,427.0,913.0,538.0,562.0
14,19,Object-Subject-Inversion,orsi,424.0,977.0,637.0,495.0
14,4,Object-Subject-Inversion,orsi,355.0,880.0,809.0,705.0
14,5,Subject,sr,365.0,822.0,1307.0,331.0
14,16,Object-Subject-Inversion,orsi,420.0,998.0,889.0,713.0
14,15,Object-Topicalized,tor,392.0,744.0,683.0,846.0
14,8,Subject,sr,426.0,798.0,425.0,400.0
14,20,Subject,sr,379.0,864.0,1023.0,1592.0
14,9,Object-Topicalized,tor,362.0,828.0,597.0,1089.0
14,1,Object-Subject-Inversion,orsi,326.0,859.0,2100.0,359.0
14,13,Object-Subject-Inversion,orsi,424.0,796.0,1306.0,1057.0
14,3,Object-Topicalized,tor,424.0,748.0,1795.0,528.0
14,2,Subject,sr,390.0,781.0,1417.0,390.0
15,19,Object-Subject-Inversion,orsi,455.0,704.0,333.0,450.0
