item,condition,position,word,rt,surprisal,length,log_freq,length_lag1,log_freq_lag1,surprisal_lag1,length_lag2,log_freq_lag2,surprisal_lag2
11,sr,3,que,400.5,2.246708,3,-3.40822199659912,7.0,-12.066310703155015,12.902165,2.0,-3.568433301038069,8.230893
11,sr,4,informó,431.69642857142856,10.055866,7,-10.501324553291749,3.0,-3.40822199659912,2.246708,7.0,-12.066310703155015,12.902165
11,sr,5,al,410.05357142857144,2.598172,2,-5.2030071867437115,7.0,-10.501324553291749,10.055866,3.0,-3.40822199659912,2.246708
11,sr,6,vecino,702.5714285714286,8.895175,6,-10.362353437371407,2.0,-5.2030071867437115,2.598172,7.0,-10.501324553291749,10.055866
11,sr,7,conocía,627.4821428571429,11.101671,7,-10.775761398993508,6.0,-10.362353437371407,8.895175,2.0,-5.2030071867437115,2.598172
11,sr,8,bien,555.1964285714286,3.323604,4,-6.653113060608556,7.0,-10.775761398993508,11.101671,6.0,-10.362353437371407,8.895175
11,sr,9,el,430.35714285714283,1.460997,2,-3.568433301038069,4.0,-6.653113060608556,3.323604,7.0,-10.775761398993508,11.101671
11,sr,10,barrio.,763.1071428571429,2.699995,7,-9.5556515572646,2.0,-3.568433301038069,1.460997,4.0,-6.653113060608556,3.323604
11,tor,1,El,384.8048780487805,8.230893,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
11,tor,2,taxista,500.7317073170732,12.902165,7,-12.066310703155015,2.0,-3.568433301038069,8.230893,0.0,0.0,0.0
11,tor,3,al,414.0,5.721537,2,-5.2030071867437115,7.0,-12.066310703155015,12.902165,2.0,-3.568433301038069,8.230893
11,tor,4,que,413.780487804878,0.654976,3,-3.40822199659912,2.0,-5.2030071867437115,5.721537,7.0,-12.066310703155015,12.902165
11,tor,5,el,503.9756097560976,3.82601,2,-3.568433301038069,3.0,-3.40822199659912,0.654976,2.0,-5.2030071867437115,5.721537
11,tor,6,vecino,861.9024390243902,7.630234,6,-10.362353437371407,2.0,-3.568433301038069,3.82601,3.0,-3.40822199659912,0.654976
11,tor,7,informó,904.9024390243902,8.951651,7,-10.501324553291749,6.0,-10.362353437371407,7.630234,2.0,-3.568433301038069,3.82601
11,tor,8,conocía,828.4878048780488,11.883237,7,-10.775761398993508,7.0,-10.501324553291749,8.951651,6.0,-10.362353437371407,7.630234
11,tor,9,bien,503.2439024390244,3.089825,4,-6.653113060608556,7.0,-10.775761398993508,11.883237,7.0,-10.501324553291749,8.951651
11,tor,10,el,507.5609756097561,1.231733,2,-3.568433301038069,4.0,-6.653113060608556,3.089825,7.0,-10.775761398993508,11.883237
11,tor,11,barrio.,961.25,2.178337,7,-9.5556515572646,2.0,-3.568433301038069,1.231733,4.0,-6.653113060608556,3.089825
12,orsi,1,El,832.5294117647059,8.230895,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
12,orsi,2,periodista,816.5588235294117,11.807421,10,-9.901489549873455,2.0,-3.568433301038069,8.230895,0.0,0.0,0.0
12,orsi,3,al,473.55882352941177,7.06012,2,-5.2030071867437115,10.0,-9.901489549873455,11.807421,2.0,-3.568433301038069,8.230895
12,orsi,4,que,452.55882352941177,2.684868,3,-3.40822199659912,2.0,-5.2030071867437115,7.06012,10.0,-9.901489549873455,11.807421
12,orsi,5,atacó,589.2058823529412,5.024129,5,-11.558969403471634,3.0,-3.40822199659912,2.684868,2.0,-5.2030071867437115,7.06012
12,orsi,6,el,508.52941176470586,1.596701,2,-3.568433301038069,5.0,-11.558969403471634,5.024129,3.0,-3.40822199659912,2.684868
12,orsi,7,senador,994.3529411764706,4.694669,7,-10.501324553291749,2.0,-3.568433301038069,1.596701,5.0,-11.558969403471634,5.024129
12,orsi,8,reconoció,930.6470588235294,11.705119,9,-11.21282087251989,7.0,-10.501324553291749,4.694669,2.0,-3.568433301038069,1.596701
12,orsi,9,finalmente,552.8235294117648,9.362829,10,-9.097011686669179,9.0,-11.21282087251989,11.705119,7.0,-10.501324553291749,4.694669
12,orsi,10,su,470.70588235294116,2.456572,2,-5.111008268243043,10.0,-9.097011686669179,9.362829,9.0,-11.21282087251989,11.705119
12,orsi,11,error.,1917.9411764705883,1.615182,6,-9.25638431047759,2.0,-5.111008268243043,2.456572,10.0,-9.097011686669179,9.362829
12,sr,1,El,384.12068965517244,8.230895,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
12,sr,2,periodista,478.82758620689657,11.807421,10,-9.901489549873455,2.0,-3.568433301038069,8.230895,0.0,0.0,0.0
12,sr,3,que,446.8965517241379,5.150598,3,-3.40822199659912,10.0,-9.901489549873455,11.807421,2.0,-3.568433301038069,8.230895
12,sr,4,atacó,463.9310344827586,6.618334,5,-11.558969403471634,3.0,-3.40822199659912,5.150598,10.0,-9.901489549873455,11.807421
12,sr,5,al,469.12068965517244,1.767583,2,-5.2030071867437115,5.0,-11.558969403471634,6.618334,3.0,-3.40822199659912,5.150598
12,sr,6,senador,652.6034482758621,4.633799,7,-10.501324553291749,2.0,-5.2030071867437115,1.767583,5.0,-11.558969403471634,6.618334
12,sr,7,reconoció,673.3103448275862,12.079378,9,-11.21282087251989,7.0,-10.501324553291749,4.633799,2.0,-5.2030071867437115,1.767583
12,sr,8,finalmente,443.91379310344826,10.088695,10,-9.097011686669179,9.0,-11.21282087251989,12.079378,7.0,-10.501324553291749,4.633799
12,sr,9,su,416.67241379310343,1.791902,2,-5.111008268243043,10.0,-9.097011686669179,10.088695,9.0,-11.21282087251989,12.079378
12,sr,10,error.,699.1034482758621,1.071541,6,-9.25638431047759,2.0,-5.111008268243043,1.791902,10.0,-9.097011686669179,10.088695
12,tor,1,El,391.8139534883721,8.230895,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
12,tor,2,periodista,488.2093023255814,11.807421,10,-9.901489549873455,2.0,-3.568433301038069,8.230895,0.0,0.0,0.0
12,tor,3,al,396.0232558139535,7.06012,2,-5.2030071867437115,10.0,-9.901489549873455,11.807421,2.0,-3.568433301038069,8.230895
12,tor,4,que,405.6744186046512,2.684868,3,-3.40822199659912,2.0,-5.2030071867437115,7.06012,10.0,-9.901489549873455,11.807421
12,tor,5,el,403.51162790697674,3.25178,2,-3.568433301038069,3.0,-3.40822199659912,2.684868,2.0,-5.2030071867437115,7.06012
12,tor,6,senador,474.5581395348837,6.063419,7,-10.501324553291749,2.0,-3.568433301038069,3.25178,3.0,-3.40822199659912,2.684868
12,tor,7,atacó,820.3488372093024,8.736806,5,-11.558969403471634,7.0,-10.501324553291749,6.063419,2.0,-3.568433301038069,3.25178
12,tor,8,reconoció,608.2093023255813,7.948563,9,-11.21282087251989,5.0,-11.558969403471634,8.736806,7.0,-10.501324553291749,6.063419
12,tor,9,finalmente,489.4651162790698,9.304313,10,-9.097011686669179,9.0,-11.21282087251989,7.948563,5.0,-11.558969403471634,8.736806
12,tor,10,su,460.30232558139534,2.578193,2,-5.111008268243043,10.0,-9.097011686669179,9.304313,9.0,-11.21282087251989,7.948563
12,tor,11,error.,793.3953488372093,1.111293,6,-9.25638431047759,2.0,-5.111008268243043,2.578193,10.0,-9.097011686669179,9.304313
13,orsi,1,El,371.91379310344826,8.230895,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
13,orsi,2,mafioso,438.8448275862069,13.961876,7,-12.895227804820582,2.0,-3.568433301038069,8.230895,0.0,0.0,0.0
13,orsi,3,al,423.44827586206895,6.398667,2,-5.2030071867437115,7.0,-12.895227804820582,13.961876,2.0,-3.568433301038069,8.230895
13,orsi,4,que,376.37931034482756,2.60341,3,-3.40822199659912,2.0,-5.2030071867437115,6.398667,7.0,-12.895227804820582,13.961876
13,orsi,5,protege,426.4310344827586,9.792753,7,-11.355921716160564,3.0,-3.40822199659912,2.60341,2.0,-5.2030071867437115,6.398667
13,orsi,6,el,474.3965517241379,1.742102,2,-3.568433301038069,7.0,-11.355921716160564,9.792753,3.0,-3.40822199659912,2.60341
13,orsi,7,empresario,1018.551724137931,6.687303,10,-10.752119635936468,2.0,-3.568433301038069,1.742102,7.0,-11.355921716160564,9.792753
13,orsi,8,conduce,880.4310344827586,13.415742,7,-11.055500617931353,10.0,-10.752119635936468,6.687303,2.0,-3.568433301038069,1.742102
13,orsi,9,un,531.5862068965517,1.891632,2,-4.448166437178426,7.0,-11.055500617931353,13.415742,10.0,-10.752119635936468,6.687303
13,orsi,10,deportivo,433.05172413793105,5.51923,9,-10.637456727616328,2.0,-4.448166437178426,1.891632,7.0,-11.055500617931353,13.415742
13,orsi,11,rojo.,740.3620689655172,3.277993,5,-9.57850969534065,9.0,-10.637456727616328,5.51923,2.0,-4.448166437178426,1.891632
13,sr,1,El,413.8135593220339,8.230895,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
13,sr,2,mafioso,483.59322033898303,13.961876,7,-12.895227804820582,2.0,-3.568433301038069,8.230895,0.0,0.0,0.0
13,sr,3,que,437.79661016949154,4.737557,3,-3.40822199659912,7.0,-12.895227804820582,13.961876,2.0,-3.568433301038069,8.230895
13,sr,4,protege,513.7118644067797,7.344033,7,-11.355921716160564,3.0,-3.40822199659912,4.737557,7.0,-12.895227804820582,13.961876
13,sr,5,al,451.54237288135596,1.83346,2,-5.2030071867437115,7.0,-11.355921716160564,7.344033,3.0,-3.40822199659912,4.737557
13,sr,6,empresario,945.7796610169491,6.67434,10,-10.752119635936468,2.0,-5.2030071867437115,1.83346,7.0,-11.355921716160564,7.344033
13,sr,7,conduce,684.271186440678,13.318559,7,-11.055500617931353,10.0,-10.752119635936468,6.67434,2.0,-5.2030071867437115,1.83346
13,sr,8,un,582.3389830508474,1.93159,2,-4.448166437178426,7.0,-11.055500617931353,13.318559,10.0,-10.752119635936468,6.67434
13,sr,9,deportivo,442.52542372881356,5.741831,9,-10.637456727616328,2.0,-4.448166437178426,1.93159,7.0,-11.055500617931353,13.318559
13,sr,10,rojo.,801.5084745762712,3.174762,5,-9.57850969534065,9.0,-10.637456727616328,5.741831,2.0,-4.448166437178426,1.93159
13,tor,1,El,369.0,8.230895,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
13,tor,2,mafioso,432.05128205128204,13.961876,7,-12.895227804820582,2.0,-3.568433301038069,8.230895,0.0,0.0,0.0
13,tor,3,al,450.9230769230769,6.398667,2,-5.2030071867437115,7.0,-12.895227804820582,13.961876,2.0,-3.568433301038069,8.230895
13,tor,4,que,425.87179487179486,2.60341,3,-3.40822199659912,2.0,-5.2030071867437115,6.398667,7.0,-12.895227804820582,13.961876
13,tor,5,el,447.56410256410254,3.639182,2,-3.568433301038069,3.0,-3.40822199659912,2.60341,2.0,-5.2030071867437115,6.398667
